"","log2FoldChange","padj","Factor"
"ko:K09584",0.199849089961497,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K09595",-0.824688539986592,0.484038642894663,"Menthol_Menthol_vs_Control"
"ko:K10364",0.553348572163828,0.714383381636434,"Menthol_Menthol_vs_Control"
"ko:K10365",-0.154836562685215,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K10418",0.38487981744292,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K10419",0.273231860963973,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K10420",0.0137125085335346,0.995869908160428,"Menthol_Menthol_vs_Control"
"ko:K10435",0.0745622656399322,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K10573",0.903582152693104,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K10575",-0.423861725525078,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K10577",-0.839963217089504,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K10580",0.0334080693827181,0.983647125788563,"Menthol_Menthol_vs_Control"
"ko:K10582",0.324521515107058,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K10583",-0.995029957926224,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K10688",-1.35914949318886,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K10704",0.153724898574878,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K10949",0.0575150019357143,0.976701939457078,"Menthol_Menthol_vs_Control"
"ko:K10956",0.873643469166178,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K11087",-0.358384557627571,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K11088",0.0094889135559881,0.998929430430127,"Menthol_Menthol_vs_Control"
"ko:K11099",0.685158432104036,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K11130",0.908645943369651,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K11188",-0.269840248683451,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K11251",1.06690924184495,0.484038642894663,"Menthol_Menthol_vs_Control"
"ko:K11252",-0.0825079875506271,0.946013003150623,"Menthol_Menthol_vs_Control"
"ko:K11254",0.0308821595842594,0.993643545559534,"Menthol_Menthol_vs_Control"
"ko:K11495",-0.766195910665025,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K11584",0.303854374685373,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K11884",-0.222448765143603,0.946013003150623,"Menthol_Menthol_vs_Control"
"ko:K11980",-0.590265700502167,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K12158",-0.0906947286091832,0.950385176844065,"Menthol_Menthol_vs_Control"
"ko:K12194",-0.125554258744694,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K12197",-0.0752575750606535,0.950385176844065,"Menthol_Menthol_vs_Control"
"ko:K12198",-1.49902010740157,0.703493483144691,"Menthol_Menthol_vs_Control"
"ko:K12393",0.537816594861165,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K12621",0.540322262142698,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K12622",-0.735300347131095,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K12623",0.147153828256439,0.950385176844065,"Menthol_Menthol_vs_Control"
"ko:K12757",-0.0904692518404651,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K12828",-0.0393208020814324,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K12832",-0.126608199134651,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K12833",-1.05020356226585,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K12859",-0.0612410654416338,0.976701939457078,"Menthol_Menthol_vs_Control"
"ko:K12877",-0.371226167256734,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K12947",-0.654201758668926,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K13025",-0.153879668510712,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K13126",0.271488455417519,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K13176",-0.771506828197419,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K13251",0.165092550994412,0.950385176844065,"Menthol_Menthol_vs_Control"
"ko:K13758",0.802002553223201,0.907727992518349,"Menthol_Menthol_vs_Control"
"ko:K13785",-2.67345633401728,1.53379119694952e-05,"Menthol_Menthol_vs_Control"
"ko:K14397",-0.233220789607871,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K14753",-0.133884284494837,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K14803",-0.749512530161101,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K14965",-6.17697327766557,2.67786254457068e-10,"Menthol_Menthol_vs_Control"
"ko:K15025",0.0523310670759204,0.987436609415364,"Menthol_Menthol_vs_Control"
"ko:K15103",0.204419825278494,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K15620",-1.12277813612856,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K16186",1.62739230265882,0.146312962373273,"Menthol_Menthol_vs_Control"
"ko:K16197",-1.30027655562776,0.193862183353139,"Menthol_Menthol_vs_Control"
"ko:K16344",-1.25412393291008,0.525941591372054,"Menthol_Menthol_vs_Control"
"ko:K16575",-0.0090119699965321,0.998929430430127,"Menthol_Menthol_vs_Control"
"ko:K16794",-0.219590176734144,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K17080",-0.298684292982482,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K17081",-0.430321793413896,0.907727992518349,"Menthol_Menthol_vs_Control"
"ko:K17093",0.981731968400849,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K17254",0.84689071055445,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K17266",-0.983038015157693,0.484038642894663,"Menthol_Menthol_vs_Control"
"ko:K17268",0.338374896054244,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K17497",-0.364953976861179,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K17780",-0.775921148405963,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K17795",0.831418723716757,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K17918",-0.0923420660974327,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K17920",1.11879284668453,1.14064089730646e-06,"Menthol_Menthol_vs_Control"
"ko:K18269",-0.483818917947879,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K18466",-0.349411436061925,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K18617",0.579266914055024,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K19682",0.420362694484817,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K19765",0.0488605348824156,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K19788",1.81800220180273,0.858057242179692,"Menthol_Menthol_vs_Control"
"ko:K19931",-0.045409439712797,0.958452645885368,"Menthol_Menthol_vs_Control"
"ko:K19932",-1.01038363437798,0.807273905221198,"Menthol_Menthol_vs_Control"
